# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947168_1
UniClust90_4860-AAAGBKAE_02282|unclassified	506.1663005352
UniRef90_UPI000A058459	504.7364522286
UniRef90_UPI000A058459|unclassified	504.7364522286
UniRef90_A0A412MGJ1	502.3107757264
UniRef90_A0A412MGJ1|unclassified	502.3107757264
UniRef90_Q89ZM7	495.5218276563
UniRef90_Q89ZM7|unclassified	495.5218276563
UniClust90_1799-MHENPNDG_01963	494.9181605233
UniClust90_1799-MHENPNDG_01963|unclassified	494.9181605233
UniRef90_A0A243W6B8	493.5584952472
UniRef90_A0A243W6B8|unclassified	493.5584952472
UniRef90_D7NGB3	491.2790564018
UniRef90_D7NGB3|unclassified	491.2790564018
UniRef90_A0A0P0GK50	490.1803542525
UniRef90_A0A0P0GK50|unclassified	490.1803542525
UniRef90_A0A1C6EFW6	489.4942770505
UniRef90_A0A1C6EFW6|unclassified	489.4942770505
UniRef90_A0A0N7I9S5	487.5138047557
UniRef90_A0A0N7I9S5|unclassified	487.5138047557
UniRef90_D4VI05	485.5255654815
UniRef90_D4VI05|unclassified	485.5255654815
UniClust90_1949-GNIAOHPH_01504	484.6577351819
UniClust90_1949-GNIAOHPH_01504|unclassified	484.6577351819
UniClust90_20349-HNCGLLAF_01898	484.1590700772
UniClust90_20349-HNCGLLAF_01898|unclassified	484.1590700772
UniClust90_35744-CNIFMJEB_01850	484.1590700772
UniClust90_35744-CNIFMJEB_01850|unclassified	484.1590700772
UniClust90_43308-JMGEIOIB_00778	484.1590700772
UniClust90_43308-JMGEIOIB_00778|unclassified	484.1590700772
UniClust90_65710-CEEPDFJD_00010	484.1590700772
UniClust90_65710-CEEPDFJD_00010|unclassified	484.1590700772
UniRef90_A0A0D5MGJ0	484.1590700772
UniRef90_A0A0D5MGJ0|unclassified	484.1590700772
UniClust90_40523-GCJLCIAF_01095	478.9530585709
UniClust90_40523-GCJLCIAF_01095|unclassified	478.9530585709
UniClust90_35744-AIHNLDFB_01220	476.4463115463
UniClust90_35744-AIHNLDFB_01220|unclassified	476.4463115463
UniRef90_A0A0P0F1L8	472.2123444259
UniRef90_A0A0P0F1L8|unclassified	472.2123444259
UniClust90_1894-GOIBEBKO_02153	471.2914141667
UniClust90_1894-GOIBEBKO_02153|unclassified	471.2914141667
UniClust90_4865-KMBIKICG_00131	467.6682022802
UniClust90_4865-KMBIKICG_00131|unclassified	467.6682022802
UniClust90_83029-NFHIDEDO_01292	463.9983622517
UniClust90_83029-NFHIDEDO_01292|unclassified	463.9983622517
UniRef90_D4YU49	463.9857754906
UniRef90_D4YU49|unclassified	463.9857754906
UniClust90_79840-HLFBNNPI_03032	460.4838546033
UniClust90_79840-HLFBNNPI_03032|unclassified	460.4838546033
UniRef90_A0A330I5Q4	459.8010526372
UniRef90_A0A330I5Q4|unclassified	459.8010526372
UniClust90_41648-KBHJLHGI_02801	459.2024169804
UniClust90_41648-KBHJLHGI_02801|unclassified	459.2024169804
UniClust90_66070-CLKMLAAN_01485	459.2024169804
UniClust90_66070-CLKMLAAN_01485|unclassified	459.2024169804
UniRef90_A0A3D1KHV3	459.2024169804
UniRef90_A0A3D1KHV3|unclassified	459.2024169804
UniClust90_36952-INJGFNMH_00928	456.5421534239
UniClust90_36952-INJGFNMH_00928|unclassified	456.5421534239
UniRef90_A0A0P0M0H7	452.5909885020
UniRef90_A0A0P0M0H7|unclassified	452.5909885020
UniRef90_A0A381HD84	451.4656059206
UniRef90_A0A381HD84|unclassified	451.4656059206
UniClust90_60597-PNFPLBFA_02378	451.0906729208
UniClust90_60597-PNFPLBFA_02378|unclassified	451.0906729208
UniRef90_A0A1C6KG18	449.8225955306
UniRef90_A0A1C6KG18|unclassified	449.8225955306
UniRef90_A0A397WB56	448.3671931475
UniRef90_A0A397WB56|unclassified	448.3671931475
UniRef90_A0A174PMJ1	447.3002951826
UniRef90_A0A174PMJ1|unclassified	447.3002951826
UniClust90_94793-MPLOOIBI_02027	445.4263444710
UniClust90_94793-MPLOOIBI_02027|unclassified	445.4263444710
UniClust90_49997-LFMILECE_00405	441.0161826445
UniClust90_49997-LFMILECE_00405|unclassified	441.0161826445
UniRef90_A0A0P0GNF1	438.1332661519
UniRef90_A0A0P0GNF1|unclassified	438.1332661519
UniClust90_41623-PHHNKMEK_01042	437.2476121573
UniClust90_41623-PHHNKMEK_01042|unclassified	437.2476121573
UniRef90_A0A378C114	436.6924945794
UniRef90_A0A378C114|unclassified	436.6924945794
UniRef90_A0A378DLM6	436.6924945794
