# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168_kegg
K15555	75.3682477954
K01468	75.1778434622
K00244	74.2957599799
K00059	73.9910871214
K16841	73.7460835217
K01533	73.6300137551
K00833	73.4140799116
K01091	73.3816053494
K05341	72.9752752417
K11754	72.5694440229
K01893	72.5376986489
K01866	72.5155895048
K01262	71.7280136285
K00806	71.4970055331
K01619	71.4970055331
K09473	70.4788519733
K07464	70.0355887533
K00286	69.7067831723
K09121	69.4965172360
K03525	69.4892893090
K01834	69.0583479800
K03814	68.8448754978
K01227	68.6689663964
K01924	68.4218251636
K00931	68.1597162176
K03574	67.4888400714
K02314	67.2789612978
K08591	67.0822807938
K01804	66.9056352534
K01243	66.6805904897
K09022	66.6805904897
K01176	66.5567146230
K01077	66.5560562759
K01104	65.9890880698
K01624	65.8511568773
K01142	65.3117807142
K06167	65.1208105952
K10794	64.8364402432
K06201	64.4611207628
K03587	64.2046173554
K03218	63.9062187189
K09765	63.9062187189
K00343	63.7015708112
K09817	63.0023118064
K03426	62.8245901934
K18866	62.2973908351
K01223	62.0126933306
K03427	61.5476918421
K09773	61.5229757557
K00919	61.2690982766
K02510	61.1849374273
K00854	60.9181950349
K01662	60.7708019119
K00763	60.7361653585
K02371	60.5198837596
K01778	60.4377672281
K16951	60.2742008756
K00602	60.2404975777
K01916	59.9506872585
K01925	59.0361228195
K16509	58.6225836345
K02190	58.6087295357
K01912	57.9693396942
K09680	57.7758989293
K03768	57.6977130144
K15986	57.5307670389
K00941	57.2527435053
K01955	56.9530712094
K06897	56.6700183805
K18785	56.5980107333
K01486	56.2819777116
K05815	56.0990358276
K15923	55.8834162214
K01338	55.8078295189
K02020	55.6087820813
K00067	54.9909067248
K03040	54.3202859111
K07273	54.3202859111
K03179	54.1222775785
K10907	53.9910720571
K01426	53.4084345888
K07258	53.1535017268
K16012	53.1001245773
K00645	53.0269457704
K00852	52.9638935162
K02503	52.7492781523
K19225	52.7167945530
K11144	51.8540563994
K17716	51.7937609850
K20811	51.5758053672
K00024	51.4943750834
K00849	51.0224907756
K00917	50.5018531146
K02775	50.4232333336
K03614	50.3306603922
K11085	50.0974358845
K01812	49.9853407801
K00611	49.1098505481
K01179	48.6804748056
K03654	48.3514991939
K06994	47.5384121734
K16950	47.5374967418
K01534	47.5259863571
K01409	47.4868171078
K01224	47.1849941177
K00008	46.6903925022
K00768	46.6415020388
K00382	46.5990715926
K01443	45.7786582190
K01880	45.0721011960
K02361	44.4981363108
K07304	44.4264656729
K01735	44.3210293006
K20885	44.3210293006
K12267	43.7980673029
K01739	43.7550436612
K13378	43.7109795421
K00146	43.3294109408
K01089	43.1196848471
K19802	42.0506248803
K01686	41.5509649693
K03271	41.3965004155
K01956	41.0417748343
K03534	40.7763627659
K00099	40.6782049745
K00928	40.6782049745
K00969	40.3029502880
K03496	40.1104547645
K00691	40.0799549327
K13038	39.9485510736
K00652	39.8770227816
K00003	39.8057501761
K00995	38.3431729395
K08681	37.9991967775
K00799	37.8120835714
K00558	37.1188620392
K00013	36.9955435607
K03701	36.7045404807
K03313	36.6606044832
K04077	36.5922270098
K06901	36.1364633626
K08309	35.7626753283
K09810	35.3354544487
K01192	35.0885177295
K01198	34.8806847667
K01209	34.8806847667
K01665	34.7989331618
K01153	33.9516037457
K10112	33.9501786944
K00705	33.4153296677
K01699	33.3153585992
K00036	32.6798491908
K06147	32.3241178861
K16898	32.0511250323
K02500	31.5011559032
K06178	30.8785668129
K22131	30.5924687137
K11066	30.2188836140
K03658	26.6964135625
K01920	26.2324113352
K04073	25.3865861410
K03046	25.0152776795
K02031	23.7941423329
K06207	22.0502088295
K01887	21.5519071607
K02358	20.5043129729
K01093	18.9221046929
K09691	18.2902190999
K02809	17.7881409035
K02810	17.7881409035
K01740	16.5889206071
K00048	15.9161977258
K04072	13.8007860999
K01962	12.3182064290
K02045	8.8739235569
K01194	7.0389751023
K03430	3.9258178113
K05306	3.9258178113
