# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947175_merged
UniRef90_K1TN49	0.000327039
UniRef90_UPI000A05E049	0.000326858
UniRef90_A0A174H4M2	0.00032613
UniClust90_4706-JLFKKGBD_00833	0.00032517
UniRef90_UNK42689-GOFGECNC_00814	0.00032517
UniRef90_A0A139JRS5	0.000324068
UniRef90_L8ITW8	0.000323323
UniRef90_UNK1949-AAOOIDAI_02702	0.000323096
UniClust90_63259-GGMMCFOC_00518	0.000321983
UniClust90_1933-LEDMGJGF_00404	0.000321496
UniClust90_20397-LMLLKEEC_00819	0.000321496
UniClust90_2302-PHIIKGME_01533	0.000321496
UniClust90_5254-ONOMNCFD_01876	0.000321496
UniRef90_A0A3D1M4G0	0.000321496
UniClust90_1949-GNIAOHPH_01504	0.000321286
UniClust90_1858-GLDBEEPH_00635	0.000320095
UniClust90_15084-IGKCEPGC_00961	0.00031969
UniClust90_37161-IMPOIKBB_01314	0.00031969
UniClust90_40318-BBLMDLDI_00182	0.00031969
UniRef90_UNK37161-IMPOIKBB_01314	0.00031969
UniRef90_UPI000E5B7F8A	0.00031969
UniRef90_A0A174SZK2	0.00031949
UniRef90_A0A173VRK7	0.000319065
UniRef90_A0A174EXZ1	0.000318944
UniRef90_A0A174NN45	0.000318584
UniRef90_A0A143XWW8	0.000318471
UniClust90_41485-ACIAGNJH_01296	0.000317904
UniClust90_4620-CKJHCEKK_00612	0.000317904
UniRef90_C7GAE0	0.000317904
UniClust90_1928-OLIEAGMN_02032	0.000316652
UniRef90_A0A0N7J7W7	0.000316179
UniClust90_2276-MFMNBNFF_00492	0.000316138
UniClust90_5548-ELBDPCAF_00514	0.000316138
UniRef90_A0A1G1GF73	0.000316138
UniRef90_A0A3D0PQZ6	0.000316138
UniRef90_A0A405PQZ7	0.000316138
UniRef90_A0A060RA92	0.000314564
UniRef90_A0A1C5VKB4	0.000314391
UniRef90_A0A3R1XA23	0.000314391
UniRef90_A0A1C5KXE6	0.000314064
UniRef90_W6PNY1	0.000313915
UniRef90_A0A076IS78	0.000313465
UniClust90_1802-KLAGFDMI_01561	0.000313282
UniClust90_2325-MCFHMPMJ_00951	0.000312664
UniRef90_A0A0P8CID9	0.000312664
UniRef90_A0A417PAV7	0.000311845
UniClust90_43303-MNOJNLHF_00851	0.000311813
UniRef90_Q8A8D9	0.000311508
UniRef90_A0A0P0L2B5	0.000311499
UniRef90_A0A0P0FRA8	0.000311276
UniRef90_A0A174RMD1	0.000310955
UniRef90_A0A174UIW4	0.000310955
UniClust90_35744-FBHKLMBA_00334	0.000310934
UniClust90_40209-DHPCPCBF_00568	0.000310579
UniClust90_1810-LJICCOAC_01772	0.000310406
UniClust90_42345-LBGBHADG_02294	0.000309265
UniRef90_A0A0D0RIS0	0.000309265
UniRef90_A0A1H9Q1U0	0.000309265
UniRef90_K1TBM8	0.000309265
UniRef90_UNK35754-EGBOGMML_02118	0.000309265
UniRef90_J9G0F3	0.00030921
UniRef90_A0A174Y214	0.000308407
UniRef90_Q8A7Z7	0.000307951
UniRef90_B0NC74	0.000307614
UniClust90_8325-KOOOFKIH_00919	0.000307594
UniRef90_A0A174XUZ0	0.000307594
UniRef90_A0A401LSJ0	0.000307594
UniRef90_A8SCB8	0.000307594
UniRef90_K1TI52	0.000307594
UniClust90_15049-FMJKODFF_01013	0.000307287
UniClust90_2169-GBMBIGEH_02021	0.00030594
UniClust90_21786-MKGBEPNN_03155	0.00030594
UniRef90_UNK35721-BOMJLJKN_00258	0.00030594
UniRef90_A0A139KHN4	0.000305535
UniClust90_37526-HJPAELPP_00432	0.000304304
UniClust90_7953-IOGEDINA_01195	0.000304304
UniRef90_A0A3M2CN73	0.000304304
UniRef90_UNK4574-OBDAMPEE_01396	0.000304304
UniClust90_2296-GEOLHJKI_00773	0.000303241
UniClust90_2303-AEAANJCM_00720	0.000303241
UniClust90_69171-LJAKGPPK_01225	0.000302685
UniRef90_A0A409IP11	0.000302685
UniRef90_D7NGB3	0.000302685
UniRef90_A0A143XK77	0.000302143
UniRef90_A0A0P0EQF3	0.000301824
UniRef90_A0A2M9H9Y9	0.000301084
UniRef90_A0A3E2TY36	0.000300611
UniClust90_15413-HGDHFFIO_02130	0.000300274
UniRef90_A0A174DEL5	0.00029998
UniRef90_A0A0N7J7A3	0.000299501
UniClust90_1943-CKGKHFOI_03871	0.000299499
UniClust90_43438-KACIDJIG_01867	0.000299499
UniClust90_60597-PNFPLBFA_02378	0.000299499
UniRef90_A0A1C5R8B4	0.000299499
UniRef90_A0A352WGR5	0.000299499
UniClust90_1857-FLPDHFPA_00782	0.000297931
UniClust90_1898-BPLMOKIB_00577	0.000297931
UniClust90_2325-GGPDNFHN_01803	0.000297931
UniClust90_63927-CEEMIDOE_01097	0.000297931
UniRef90_A0A243W6B8	0.000297931
UniRef90_A0A2K4ZPP0	0.000297554
UniRef90_E0NRB9	0.000297042
UniClust90_5037-MLHBGGML_02427	0.000296961
UniClust90_14972-HCNODHMP_02425	0.000296379
UniClust90_1848-GPGMDHOG_04206	0.000296379
UniClust90_29304-FKOEGKBE_00690	0.000296379
UniClust90_41561-NJCLLFPP_00665	0.000296379
UniClust90_80636-JBLPAKCL_01664	0.000296379
UniRef90_A0A015QDU3	0.000296379
UniRef90_A0A448QU95	0.000296379
UniClust90_41705-FJADGNOM_01172	0.000296054
UniRef90_A0A120A0V4	0.000295005
UniRef90_E6SPE7	0.000295004
UniRef90_A0A174US76	0.000294844
UniRef90_A0A1C5RKG8	0.000294844
UniRef90_A0A2X0X0P5	0.000294844
