# Reaction HUMAnN v4.0.0.alpha.1	SRR7947175_kegg
K16213	85.5227967260
K00969	85.2590636353
K13747	85.0092737001
K02501	84.9615448473
K00275	84.0479798489
K00859	83.5985254112
K11175	83.4497735866
K01696	83.3110123006
K00858	83.2206957768
K21063	83.1538524037
K03470	82.7138849307
K05774	82.4231507130
K03885	82.1609641135
K07560	81.3540544435
K00943	80.8599530271
K00266	80.6254641970
K02304	79.8956946434
K00991	78.9541628884
K03500	78.9079085393
K01179	78.8879822574
K00278	78.8228583645
K00806	78.5574083010
K02346	78.2663860640
K03077	78.0345636534
K05879	78.0345636534
K15987	77.6678939299
K09810	76.2581670824
K16371	75.9396001935
K07313	75.7653840964
K07010	75.5213731976
K01869	75.1419272086
K20488	74.5608469884
K01841	73.6859655083
K02230	73.6792899479
K01755	73.5997076287
K01356	73.2793324308
K00075	73.0050081772
K16704	72.9374381893
K03814	72.1519580857
K00059	72.0411255848
K01695	71.9306330609
K15460	71.6011797797
K01613	71.4920316398
K03394	71.4920316398
K03169	71.3676017580
K01077	71.1918418308
K01465	71.1398427994
K02573	71.0545941166
K00241	70.7372138094
K03606	70.5248291331
K17103	70.4185777113
K01883	69.6026463214
K01277	69.4178541391
K00854	69.3648175632
K00052	69.3090704340
K03407	69.2195953270
K03427	69.1524134156
K01890	69.0973174802
K12941	68.9183686388
K01897	68.8943986444
K03526	68.5489341944
K01905	68.4167337798
K01744	68.2427102222
K00528	68.0678849865
K00558	68.0678849865
K07263	67.9177469686
K02233	67.8708722948
K01814	67.6749967615
K01627	66.7123367791
K00215	66.3348978157
K00981	66.2412044572
K00240	65.9617057042
K01209	65.6276387989
K00703	65.2277785197
K01142	65.2277785197
K21575	65.0412262527
K01950	64.3584314173
K01681	64.2830095115
K04771	64.1350738539
K01470	63.9819546462
K01873	63.9404637921
K02503	63.5854170773
K11074	63.5484725687
K03426	63.4624800483
K01591	63.3767199401
K19802	63.1681019353
K02041	62.7828283209
K00087	62.6159381109
K02361	61.3568472197
K01486	61.0321925552
K07448	60.9074970853
K10563	60.7497056421
K01956	60.6125776580
K03575	60.0456882676
K03168	60.0262781827
K06041	59.9728551863
K06158	59.6691951601
K01778	59.3655351338
K00384	59.2904838884
K01775	59.1680526585
K03644	58.9921669883
K03768	58.9921669883
K09458	58.9249562473
K15924	58.8441545969
K03601	58.6247643890
K00265	58.4478665419
K03702	58.4006812249
K07056	58.3318069101
K01338	58.1586562462
K00765	57.9712889440
K00645	57.6480109727
K02338	57.4036386239
K03734	57.3334630265
K07106	57.2634587982
K14682	56.6410298982
K00014	55.6331823911
K19265	55.5016970462
K01812	55.0524034250
K01749	54.9809762669
K03525	54.8523657961
K01426	54.3438850008
K00845	54.0931635014
K01176	54.0705156895
K01262	53.9160223613
K18014	53.7022245711
K00639	53.6290646179
K01639	53.5374118216
K06207	53.5237100530
K01924	53.4246238683
K23003	53.3546902795
K00609	53.1732117412
K00611	53.1732117412
K00872	52.5770995019
K01205	52.2433670255
K11085	52.1242626756
K01704	52.0301994282
K05878	51.9366254216
K00948	51.8791734023
K01599	51.8791734023
K01874	51.8062742203
K03181	51.7646498407
K00018	51.7075774594
K00244	51.4568201406
K00033	51.4240929339
K05341	50.9633829031
K00343	50.8329134749
K00162	50.5919878702
K18234	50.3205716263
K03778	50.1055264484
K04567	50.0774316444
K18930	49.9934075071
K03551	49.8923114422
K08678	49.8923114422
K03043	49.7214760605
K02057	49.4712792782
K03040	49.4712792782
K18785	49.3152184602
K05837	48.7196992318
K05970	48.5626035491
K18446	48.3492502636
K02238	48.2757606850
K03616	48.1013053905
K01933	47.6129672647
K03621	47.5164870878
K01711	47.2293784045
K03698	47.2293784045
K04720	47.1344449806
K02119	46.7584972639
K01895	46.7015457811
K07404	46.3884992638
K21672	46.2969128881
K02529	46.2056874440
K00849	46.0243108496
K02844	45.6213742760
K01903	45.3128239185
K02343	45.1744444198
K06162	45.0516549046
K00929	44.8792083787
K19049	44.6336192344
K04564	44.5826841822
K00857	44.2280106782
K00865	44.0777939433
K00975	43.8306287436
K01791	43.7080827173
K00652	43.6267653541
K00099	43.2645505126
K05847	42.9869594461
K03798	42.9649703127
K01586	42.6740425439
K11529	42.6740425439
K02339	42.3588988059
K00573	42.1751553558
K01839	42.1372621345
K08325	41.9488128405
K15531	41.9113250721
K07391	41.8869200386
K01740	41.6196304873
K00691	41.4159904570
K06969	41.2478212451
K00281	41.1156937638
K01940	41.0312972491
K01662	40.5722059112
K00928	40.3408617894
K15635	40.0160177096
K00773	39.8122009811
K00174	39.7585812912
K14415	39.4770814442
K18707	39.3116284624
K06889	38.6953570592
K00533	38.5047395367
K01733	38.2223086843
K11072	38.0161479750
K01689	37.8826920482
K03313	37.6394644909
K03545	37.2212482188
K00425	37.1328367028
K00756	37.0741286606
K01925	37.0600455094
K00383	36.9864138452
K09812	36.9824099862
K01951	36.8701043677
K12960	36.7833511809
K00595	36.5539927948
K02429	36.5255239530
K14051	36.2439480481
K07714	36.2152685372
K03615	36.1315660676
K04485	35.9377569009
K02775	35.6644659739
K08307	35.6373653159
K00963	35.4756223568
K00012	35.4488078274
K00925	35.1828752856
K00690	34.6372029215
K01847	34.5944423651
K16786	34.4337538588
K16787	34.4337538588
K05989	34.4206421006
K00036	34.3832644836
K01729	34.2827286226
K00104	33.8374983807
K01868	33.5592095570
K17758	33.3561683895
K17759	33.3561683895
K00342	33.3087874685
K21929	33.2712310369
K00677	33.2615409615
K03046	33.2548016839
K18231	32.9576758649
K04043	32.8422778401
K02337	32.6842662261
K01255	32.4334528048
K01299	32.3439812108
K01745	32.1004604762
K02510	32.0344061231
K08301	31.8605793177
K01156	31.8418259916
K07793	31.5179924433
K02050	31.3285055148
K18220	31.1528441739
K02111	30.9562856473
K03324	30.8341701221
K03321	30.6527926508
K02787	30.4537485427
K02788	30.4537485427
K02035	30.3945384029
K01193	29.9290189890
K00852	29.8596799913
K07030	29.8528152487
K03654	29.6986941765
K03929	29.2386363814
K07250	29.0238455318
K02323	27.8330995583
K18332	27.8165911955
K01195	27.5712949769
K01818	27.5389152999
K01887	27.4764716636
K03658	27.3145168667
K03665	26.8146213583
K08282	26.7327888419
K02034	26.6544292555
K01923	26.1897808232
K03701	26.1679370457
K02031	25.9395867012
K02032	25.9395867012
K01198	25.8537887297
K05515	25.7827227904
K06201	25.3919048218
K03722	24.9461557211
K00978	24.8152185588
K01284	24.7596102915
K04077	24.6576092301
K02261	24.5414823421
K02334	24.5158247547
K07112	24.2403171485
K22927	24.2120664717
K04773	24.1870927054
K23007	23.9035539020
K06382	23.6146892023
K00262	23.5026722383
K01206	23.0854991821
K12555	22.8551524151
K01952	22.7087561649
K12507	22.5148792198
K11004	22.3860490481
K01278	22.3008905163
K03695	22.1743606410
K01961	21.9975481969
K01256	21.9661330465
K01322	21.8744275913
K01197	21.7526775305
K00833	21.5428446282
K10231	20.4798134304
K13821	20.1937117276
K02853	20.0165483379
K05366	19.8219665071
K12573	19.7136497502
K03694	19.6640556628
K01866	19.5056991007
K01468	19.5054034241
K01007	18.9031732187
K00382	18.7905710667
K01191	18.7445134915
K08956	18.5005020733
K01192	18.4423015162
K07812	18.2485497104
K19852	18.1637384801
K04707	17.9895561011
K00973	17.9826582652
K10823	17.8909161135
K01531	17.6311175773
K00705	17.5782506581
K01738	17.5069795403
K03332	17.4474601026
K06894	17.3254439934
K01889	16.7760870430
K02519	16.5603011143
K02335	16.1330487636
K01880	15.6852082795
K18138	15.4934829057
K02316	15.3987367370
K12267	14.8337845912
K00381	14.7110328594
K01955	14.5784186371
K00853	14.4215168375
K00763	14.2117493199
K05853	13.9124214642
K03243	13.5426420176
K01182	13.2930795782
K00600	12.2075349784
K03696	9.9490293190
K07012	9.7909755231
K12818	8.2452132130
K06001	7.2934564260
K13798	7.1385339797
K03296	6.7897617213
K03041	6.2651414754
K01876	6.1741406998
K22517	5.3500767460
K12111	5.3191304021
K08300	4.9993361854
K02350	3.9920644157
K00362	3.1290881209
K01270	2.7412465955
K13525	2.4559474631
