# Pathway	ERR13731454_genefamilies_uniref90_kegg_orthologs_Abundance
ko04122|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.0334045455
ko04122|g__Bacteroides.s__Bacteroides_massiliensis	0.4612018182
ko00520	12.7265188333
ko00520|unclassified	5.0118260556
ko00520|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.9380362963
ko00520|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.1535112963
ko00520|g__Bacteroides.s__Bacteroides_massiliensis	1.1864572222
ko00520|g__Alistipes.s__Alistipes_finegoldii	0.7440014815
ko00520|g__Roseburia.s__Roseburia_faecis	0.6926838889
ko00500	12.2809191750
ko00500|unclassified	6.7758879250
ko00500|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.0741985000
ko00500|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.7574342500
ko00500|g__Alistipes.s__Alistipes_finegoldii	0.2792340000
ko00500|g__Alistipes.s__Alistipes_putredinis	0.2408680000
ko00450	11.3959916667
ko00450|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.7260880000
ko00450|g__Roseburia.s__Roseburia_faecis	1.1919026667
ko00450|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.7695600000
ko00780	11.2127140000
ko00780|unclassified	6.5421620000
ko00780|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.2983400000
ko00780|g__Bacteroides.s__Bacteroides_massiliensis	1.3722120000
ko00400	11.2055412903
ko00400|unclassified	5.5259354839
ko00400|g__Bacteroides.s__Bacteroides_massiliensis	2.5790387097
ko00400|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.4683716129
ko00400|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.4427422581
ko00620	11.1019290000
ko00620|unclassified	3.2590581892
ko00620|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.5000235135
ko00620|g__Bacteroides.s__Bacteroides_massiliensis	2.0238329730
ko00620|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.0674675676
ko00620|g__Roseburia.s__Roseburia_faecis	0.8027794595
ko00660	10.7531350000
ko00660|unclassified	8.9565516667
ko00240	10.6615058533
ko00240|unclassified	3.0838449200
ko00240|g__Bacteroides.s__Bacteroides_massiliensis	2.2648185333
ko00240|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.9483644000
ko00240|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.9303525333
ko00240|g__Alistipes.s__Alistipes_finegoldii	1.0083374667
ko00240|g__Roseburia.s__Roseburia_faecis	0.1140960000
ko00052	10.6507795172
ko00052|unclassified	5.6830198621
ko00330	10.6480383333
ko00330|unclassified	4.3267216667
ko00330|g__Bacteroides.s__Bacteroides_massiliensis	2.3813260317
ko00330|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.7344396825
ko00330|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.9610303175
ko00330|g__Roseburia.s__Roseburia_faecis	0.6758912698
