SRR31533935.87a96f15b5-8e55-469a-916d-b26016894f73/1|1485	UniRef90_A0A2P5YF41|978	43.5	62	10	1	501	316	199	235	5.08e-03	45.4
SRR31533935.88c92efd4c-a421-424c-ae9c-a25dfcf66d21/1|1496	UniRef90_D1NFR0|732	46.3	108	34	6	1084	1365	146	243	1.34e-05	52.8
SRR31533935.894c9d7d25-54f4-4c37-9525-4ef6ddade371/1|1585	UniRef90_A0A2P5YF41|978	58.1	62	26	0	1187	1372	213	274	1.37e-10	68.9
SRR31533935.90d1be69bb-1c69-42fa-8dc0-ebc4255e4f54/1|1532	UniRef90_A0A2P5YF41|978	50.7	69	27	2	410	216	209	274	5.71e-06	54.7
SRR31533935.91e0d67660-400b-4fc0-8045-5b0ef4ef066a/1|1575	UniRef90_D1NFR0|732	58.3	48	12	1	1083	1202	146	193	1.17e-03	47.0
SRR31533935.9290b77f7b-4a5c-43c5-af03-a0d83e5c1cdb/1|1471	UniRef90_R9NVJ9|1758	56.4	39	16	1	556	443	11	49	2.00e-01	40.8
SRR31533935.93497bd1a2-9d95-41c2-8c71-d54ab67d1806/1|1523	UniRef90_A0A2P5YF41|978	46.6	58	31	0	396	223	217	274	4.09e-04	48.9
SRR31533935.94e2021f8d-15a1-42fc-9a87-23b984ed080c/1|1512	UniRef90_A0A444XZ37|585	55.3	38	17	0	392	279	58	95	5.98e-02	41.2
SRR31533935.95e5c8e89d-ca67-474c-bcd2-93b54647b718/1|1590	UniClust90_55923-PFCBEKJM_00307|1755	34.8	66	39	1	197	382	515	580	1.85e-02	44.3
SRR31533935.96dcbcf01e-8229-44ec-bdf7-cd023735d895/1|1494	UniRef90_H6SIB2|1326	55.0	60	17	3	481	320	371	426	1.71e-04	50.4
SRR31533935.9798fe381f-7779-46d8-b272-a52b79b1b4ae/1|1517	UniRef90_H6SIB2|1326	61.9	42	16	0	441	316	390	431	4.58e-06	55.5
SRR31533935.986eaa67c9-241a-480b-a423-fb4c9437321b/1|1497	UniRef90_A0A2P5YF41|978	49.1	55	28	0	411	247	205	259	9.87e-07	57.0
