name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Paenibacillus odorifer	189426	S	18	2	20	0.00000
Paenibacillus jilunlii	682956	S	17	7	24	0.00000
Paenibacillus sophorae	1333845	S	17	3	20	0.00000
Paenibacillus amylolyticus	1451	S	16	16	32	0.00000
Paenibacillus barcinonensis	198119	S	15	1	16	0.00000
Paenibacillus guangzhouensis	1473112	S	15	0	15	0.00000
Paenibacillus borealis	160799	S	15	3	18	0.00000
Paenibacillus beijingensis	1126833	S	15	0	15	0.00000
Paenibacillus tianjinensis	2810347	S	14	10	24	0.00000
Paenibacillus larvae	1464	S	13	2	15	0.00000
Paenibacillus graminis	189425	S	12	4	16	0.00000
Paenibacillus pabuli	1472	S	10	3	13	0.00000
Brevibacillus brevis	1393	S	108	19	127	0.00000
Brevibacillus composti	2796470	S	33	4	37	0.00000
Brevibacillus sp. WF146	319501	S	17	7	24	0.00000
Brevibacillus ruminantium	2950604	S	25	2	27	0.00000
Brevibacillus marinus	2496837	S	24	0	24	0.00000
Brevibacillus humidisoli	2895522	S	18	0	18	0.00000
Brevibacillus choshinensis	54911	S	17	1	18	0.00000
Brevibacillus laterosporus	1465	S	14	9	23	0.00000
Brevibacillus borstelensis	45462	S	14	1	15	0.00000
Brevibacillus agri	51101	S	11	93	104	0.00000
Cohnella cholangitidis	2598458	S	143	4	147	0.00000
Cohnella sp. LGH	1619153	S	50	15	65	0.00000
Cohnella candidum	2674991	S	30	0	30	0.00000
Cohnella abietis	2507935	S	27	0	27	0.00000
Cohnella herbarum	2728023	S	19	0	19	0.00000
Saccharibacillus brassicae	2583377	S	110	3	113	0.00000
Aneurinibacillus sp. Ricciae_BoGa-3	3022697	S	16	1	17	0.00000
Aneurinibacillus sp. B1	2966586	S	14	4	18	0.00000
Aneurinibacillus soli	1500254	S	25	7	32	0.00000
Thermobacillus composti	377615	S	31	1	32	0.00000
Bacillus mycoides	1405	S	80	35	115	0.00000
Bacillus cereus	1396	S	41	93	134	0.00000
Bacillus thuringiensis	1428	S	18	205	223	0.00001
Bacillus pseudomycoides	64104	S	16	0	16	0.00000
Bacillus siamensis	659243	S	19	23	42	0.00000
Bacillus velezensis	492670	S	11	159	170	0.00000
Bacillus subtilis	1423	S	33	156	189	0.00000
Bacillus atrophaeus	1452	S	20	1	21	0.00000
Bacillus paralicheniformis	1648923	S	13	6	19	0.00000
Bacillus sp. T3	467262	S	24	27	51	0.00000
Bacillus sp. FJAT-42376	2014076	S	17	18	35	0.00000
Bacillus sp. OxB-1	98228	S	16	6	22	0.00000
Bacillus sp. NEB1478	3073816	S	14	1	15	0.00000
Bacillus sp. KH172YL63	2709784	S	14	3	17	0.00000
Bacillus infantis	324767	S	64	4	68	0.00000
Bacillus pumilus	1408	S	51	4	55	0.00000
Bacillus methanolicus	1471	S	35	6	41	0.00000
Bacillus carboniphilus	86663	S	25	0	25	0.00000
Bacillus altitudinis	293387	S	25	8	33	0.00000
Bacillus safensis	561879	S	21	13	34	0.00000
Bacillus swezeyi	1925020	S	20	0	20	0.00000
Bacillus aquiflavi	2672567	S	14	0	14	0.00000
Bacillus badius	1455	S	13	4	17	0.00000
Bacillus glycinifermentans	1664069	S	10	0	10	0.00000
Neobacillus sp. OS1-2	3070680	S	361	50	411	0.00001
Neobacillus sp. PS3-40	3070679	S	129	14	143	0.00000
Neobacillus sp. PS2-9	3070676	S	29	4	33	0.00000
Neobacillus sp. DY30	3047871	S	19	3	22	0.00000
Neobacillus sp. OS1-32	3070682	S	14	1	15	0.00000
Neobacillus sp. SuZ13	3047875	S	12	2	14	0.00000
Neobacillus sp. Marseille-Q6967	2963105	S	11	2	13	0.00000
Neobacillus sp. PS3-34	3070678	S	10	0	10	0.00000
Neobacillus sp. OS1-33	3070683	S	10	2	12	0.00000
Neobacillus cucumis	1740721	S	22	0	22	0.00000
Neobacillus drentensis	220684	S	10	1	11	0.00000
Neobacillus mesonae	1193713	S	10	1	11	0.00000
Priestia filamentosa	1402861	S	132	5	137	0.00000
Priestia megaterium	1404	S	58	30	88	0.00000
Metabacillus sp. cB07	2806989	S	21	3	24	0.00000
Metabacillus sp. KUDC1714	2745198	S	14	3	17	0.00000
Metabacillus sp. B2-18	2897333	S	10	104	114	0.00000
Metabacillus sediminilitoris	2567941	S	12	2	14	0.00000
Lysinibacillus sp. OF-1	2972483	S	26	35	61	0.00000
Lysinibacillus sp. SGAir0095	2070463	S	14	5	19	0.00000
Lysinibacillus fusiformis	28031	S	13	23	36	0.00000
Anoxybacillus flavithermus	33934	S	114	70	184	0.00000
Anoxybacillus sp. PDR2	1636720	S	10	5	15	0.00000
Mesobacillus sp. S13	2880221	S	29	13	42	0.00000
Mesobacillus sp. AQ2	3043332	S	19	5	24	0.00000
Mesobacillus foraminis	279826	S	37	3	40	0.00000
Mesobacillus jeotgali	129985	S	31	13	44	0.00000
Alkalihalobacillus sp. LMS39	2924032	S	92	8	100	0.00000
Alkalihalobacillus sp. LMS6	2924034	S	26	2	28	0.00000
Cytobacillus firmus	1399	S	36	16	52	0.00000
Cytobacillus gottheilii	859144	S	35	3	38	0.00000
Cytobacillus solani	1637975	S	13	1	14	0.00000
Cytobacillus spongiae	2901381	S	11	1	12	0.00000
Rossellomorea marisflavi	189381	S	83	10	93	0.00000
Rossellomorea vietnamensis	218284	S	21	11	32	0.00000
Geobacillus proteiniphilus	860353	S	23	53	76	0.00000
Geobacillus subterraneus	129338	S	17	15	32	0.00000
Virgibacillus phasianinus	2017483	S	26	2	28	0.00000
Virgibacillus halodenitrificans	1482	S	14	31	45	0.00000
Virgibacillus necropolis	163877	S	11	1	12	0.00000
Lentibacillus daqui	2911514	S	48	1	49	0.00000
Lentibacillus amyloliquefaciens	1472767	S	33	1	34	0.00000
Lentibacillus sp. CBA3610	2518176	S	16	0	16	0.00000
Halobacillus halophilus	1570	S	36	4	40	0.00000
Halobacillus litoralis	45668	S	25	2	27	0.00000
Salicibibacter halophilus	2502791	S	41	0	41	0.00000
Salicibibacter cibi	2743001	S	22	0	22	0.00000
Salicibibacter cibarius	2743000	S	16	0	16	0.00000
Oceanobacillus jeddahense	1462527	S	35	6	41	0.00000
Oceanobacillus oncorhynchi	545501	S	20	5	25	0.00000
Oceanobacillus zhaokaii	2052660	S	14	1	15	0.00000
Parageobacillus caldoxylosilyticus	81408	S	24	26	50	0.00000
Parageobacillus sp. KH3-4	2916802	S	11	14	25	0.00000
Peribacillus asahii	228899	S	15	3	18	0.00000
Peribacillus simplex	1478	S	13	17	30	0.00000
Peribacillus frigoritolerans	450367	S	10	7	17	0.00000
Pontibacillus sp. ALD_SL1	2777185	S	45	0	45	0.00000
Heyndrickxia coagulans	1398	S	25	25	50	0.00000
Niallia circulans	1397	S	28	2	30	0.00000
Niallia taxi	2499688	S	16	1	17	0.00000
Sutcliffiella horikoshii	79883	S	44	7	51	0.00000
Fictibacillus phosphorivorans	1221500	S	18	1	19	0.00000
Fictibacillus enclensis	1017270	S	13	0	13	0.00000
Fictibacillus sp. KU28468	2991053	S	11	0	11	0.00000
Caldibacillus thermoamylovorans	35841	S	44	20	64	0.00000
Gracilibacillus caseinilyticus	2932256	S	27	1	28	0.00000
Caldalkalibacillus thermarum	296745	S	36	6	42	0.00000
Salisediminibacterium beveridgei	632773	S	26	1	27	0.00000
Shouchella clausii	79880	S	17	12	29	0.00000
Amphibacillus xylanus	1449	S	24	1	25	0.00000
Salipaludibacillus sp. LMS25	2924031	S	24	1	25	0.00000
Pseudalkalibacillus hwajinpoensis	208199	S	24	3	27	0.00000
Salimicrobium jeotgali	1230341	S	21	1	22	0.00000
Terribacillus sp. DMT04	2850441	S	13	6	19	0.00000
Domibacillus sp. DTU_2020_1001157_1_SI_ALB_TIR_016	3077789	S	20	2	22	0.00000
Halalkalibacter krulwichiae	199441	S	18	4	22	0.00000
Sediminibacillus dalangtanensis	2729421	S	16	1	17	0.00000
Siminovitchia fortis	254758	S	12	1	13	0.00000
Alkalihalophilus pseudofirmus	79885	S	11	1	12	0.00000
Paenalkalicoccus suaedae	2592382	S	11	6	17	0.00000
Staphylococcus delphini	53344	S	39	4	43	0.00000
Staphylococcus pseudintermedius	283734	S	11	1	12	0.00000
Staphylococcus aureus	1280	S	48	156	204	0.00001
Staphylococcus simulans	1286	S	28	1	29	0.00000
Staphylococcus ureilyticus	94138	S	28	44	72	0.00000
Staphylococcus epidermidis	1282	S	26	10	36	0.00000
Staphylococcus haemolyticus	1283	S	20	5	25	0.00000
Staphylococcus lutrae	155085	S	12	0	12	0.00000
Staphylococcus hominis	1290	S	12	3	15	0.00000
Staphylococcus debuckii	2044912	S	12	1	13	0.00000
Staphylococcus capitis	29388	S	11	4	15	0.00000
Staphylococcus shinii	2912228	S	11	1	12	0.00000
Macrococcus canis	1855823	S	42	17	59	0.00000
Macrococcus bovicus	69968	S	17	2	19	0.00000
Mammaliicoccus sciuri	1296	S	33	3	36	0.00000
Jeotgalicoccus sp. WY2	2708346	S	13	0	13	0.00000
Jeotgalicoccus saudimassiliensis	1461582	S	14	0	14	0.00000
Salinicoccus halodurans	407035	S	11	0	11	0.00000
Planococcus sp. 107-1	2908840	S	19	10	29	0.00000
Planococcus plakortidis	1038856	S	32	38	70	0.00000
Planococcus halocryophilus	1215089	S	20	14	34	0.00000
Planococcus versutus	1302659	S	14	10	24	0.00000
Planococcus halotolerans	2233542	S	12	2	14	0.00000
Sporosarcina sp. 0.2-SM1T-5	3056445	S	19	4	23	0.00000
Sporosarcina sp. Marseille-Q4063	2810514	S	18	2	20	0.00000
Sporosarcina sp. T2O-4	3056444	S	15	6	21	0.00000
Sporosarcina ureae	1571	S	43	17	60	0.00000
Jeotgalibacillus malaysiensis	1508404	S	38	4	42	0.00000
Kurthia sp. YJT4	3049086	S	24	19	43	0.00000
Ureibacillus thermosphaericus	51173	S	13	21	34	0.00000
Ureibacillus thermophilus	367743	S	10	6	16	0.00000
Solibacillus silvestris	76853	S	14	2	16	0.00000
Paenisporosarcina antarctica	417367	S	15	1	16	0.00000
Alicyclobacillus sp. TC	2606450	S	27	0	27	0.00000
Alicyclobacillus cycloheptanicus	1457	S	39	0	39	0.00000
Alicyclobacillus mengziensis	2931921	S	38	0	38	0.00000
Alicyclobacillus dauci	1475485	S	23	0	23	0.00000
Alicyclobacillus acidocaldarius	405212	S	21	0	21	0.00000
Alicyclobacillus fastidiosus	392011	S	20	1	21	0.00000
Alicyclobacillus acidoterrestris	1450	S	12	0	12	0.00000
Tumebacillus avium	1903704	S	56	2	58	0.00000
Tumebacillus algifaecis	1214604	S	30	1	31	0.00000
Effusibacillus dendaii	2743772	S	16	0	16	0.00000
Exiguobacterium acetylicum	41170	S	48	34	82	0.00000
Exiguobacterium aurantiacum	33987	S	42	6	48	0.00000
Exiguobacterium sp. Helios	2735868	S	22	2	24	0.00000
Exiguobacterium sp. N4-1P	2051906	S	10	0	10	0.00000
Exiguobacterium profundum	307643	S	22	6	28	0.00000
Exiguobacterium alkaliphilum	1428684	S	15	2	17	0.00000
Hydrogenibacillus sp. N12	2866627	S	42	1	43	0.00000
Listeria newyorkensis	1497681	S	79	0	79	0.00000
Listeria seeligeri	1640	S	27	0	27	0.00000
Listeria monocytogenes	1639	S	20	48	68	0.00000
Listeria innocua	1642	S	19	2	21	0.00000
Listeria grayi	1641	S	10	1	11	0.00000
Kroppenstedtia eburnea	714067	S	59	3	62	0.00000
Staphylospora marina	2490858	S	41	1	42	0.00000
Polycladomyces abyssicola	1125966	S	16	0	16	0.00000
Novibacillus thermophilus	1471761	S	16	1	17	0.00000
Thermoactinomyces vulgaris	2026	S	15	0	15	0.00000
Laceyella sacchari	37482	S	10	0	10	0.00000
Gemella sp. oral taxon 928	1785995	S	41	110	151	0.00000
Gemella sanguinis	84135	S	29	2	31	0.00000
Gemella haemolysans	1379	S	15	0	15	0.00000
Sporolactobacillus terrae	269673	S	21	0	21	0.00000
Pullulanibacillus sp. KACC 23026	3028315	S	11	0	11	0.00000
Longicatena caecimuris	1796635	S	3083	2323	5406	0.00014
Amedibacterium intestinale	2583452	S	486	304	790	0.00002
Faecalibaculum rodentium	1702221	S	301	13	314	0.00001
Allobaculum mucilyticum	2834459	S	148	4	152	0.00000
Allobaculum sp. Allo2	2853432	S	116	2	118	0.00000
Allocoprobacillus halotolerans	2944914	S	132	10	142	0.00000
Intestinibaculum porci	2487118	S	108	2	110	0.00000
Erysipelothrix larvae	1514105	S	19	2	21	0.00000
Erysipelothrix rhusiopathiae	1648	S	14	13	27	0.00000
Bulleidia sp. zg-1006	2806552	S	46	3	49	0.00000
[Clostridium] innocuum	1522	S	1344	515	1859	0.00005
Thomasclavelia ramosa	1547	S	491	59	550	0.00001
Thomasclavelia spiroformis	29348	S	27	1	28	0.00000
Catenibacterium sp. co_0103	2478954	S	125	59	184	0.00000
Catenibacterium mitsuokai	100886	S	93	15	108	0.00000
Faecalibacillus intestinalis	1982626	S	94	28	122	0.00000
Tannockella kyphosi	2899121	S	37	0	37	0.00000
Turicibacter sp. TJ11	2806443	S	10	7	17	0.00000
Turicibacter sanguinis	154288	S	13	2	15	0.00000
Selenomonas ruminantium	971	S	228	3	231	0.00001
Selenomonas sputigena	69823	S	206	3	209	0.00001
Selenomonas sp. oral taxon 126	712528	S	51	7	58	0.00000
Selenomonas sp. oral taxon 920	1884263	S	43	5	48	0.00000
Selenomonas sp. oral taxon 136	713030	S	33	22	55	0.00000
Selenomonas sp. oral taxon 478	712538	S	17	12	29	0.00000
Selenomonas dianae	135079	S	64	6	70	0.00000
Selenomonas timonae	2754044	S	61	16	77	0.00000
Pectinatus frisingensis	865	S	129	0	129	0.00000
Megamonas funiformis	437897	S	30	2	32	0.00000
Megamonas hypermegale	158847	S	19	2	21	0.00000
Selenobaculum gbiensis	3054208	S	35	0	35	0.00000
uncultured Sporomusa sp.	307249	S	65	12	77	0.00000
Sporomusa termitida	2377	S	24	5	29	0.00000
uncultured Anaeromusa sp.	673273	S	61	0	61	0.00000
Pelosinus fermentans	365349	S	17	5	22	0.00000
Megasphaera stantonii	2144175	S	305	25	330	0.00001
Megasphaera elsdenii	907	S	175	25	200	0.00001
Megasphaera massiliensis	1232428	S	100	9	109	0.00000
Megasphaera hexanoica	1675036	S	77	10	87	0.00000
Veillonella rodentium	248315	S	60	23	83	0.00000
Veillonella parvula	29466	S	28	21	49	0.00000
Dialister succinatiphilus	487173	S	36	1	37	0.00000
Dialister hominis	2582419	S	19	34	53	0.00000
Dialister massiliensis	2161821	S	18	33	51	0.00000
Phascolarctobacterium succinatutens	626940	S	173	110	283	0.00001
Phascolarctobacterium faecium	33025	S	129	0	129	0.00000
Phascolarctobacterium sp. Marseille-Q4147	2823317	S	117	51	168	0.00000
Acidaminococcus fermentans	905	S	298	1	299	0.00001
Acidaminococcus intestini	187327	S	86	8	94	0.00000
Murdochiella vaginalis	1852373	S	106	72	178	0.00000
Anaerococcus prevotii	33034	S	21	34	55	0.00000
Anaerococcus sp. Marseille-Q7828	3036300	S	18	11	29	0.00000
Peptoniphilus ivorii	54006	S	51	2	53	0.00000
Peptoniphilus equinus	3016343	S	13	0	13	0.00000
Peptoniphilus harei	54005	S	11	3	14	0.00000
Finegoldia magna	1260	S	45	13	58	0.00000
Parvimonas micra	33033	S	11	3	14	0.00000
Acidilutibacter cellobiosedens	2507161	S	138	10	148	0.00000
Caloranaerobacter azorensis	116090	S	48	2	50	0.00000
Tissierella sp. MB52-C2	3070999	S	15	0	15	0.00000
Gudongella oleilytica	1582259	S	14	0	14	0.00000
Keratinibaculum paraultunense	1278232	S	12	0	12	0.00000
Schnuerera ultunensis	45497	S	11	0	11	0.00000
Sedimentibacter sp. MB35-C1	3070995	S	112	0	112	0.00000
Sedimentibacter sp. zth1	2816908	S	24	0	24	0.00000
Ezakiella coagulans	46507	S	46	44	90	0.00000
Ndongobacter massiliensis	1871025	S	55	23	78	0.00000
Limnochorda pilosa	1555112	S	18	0	18	0.00000
Candidatus Contubernalis alkalaceticus	338645	S	10	0	10	0.00000
Bifidobacterium longum	216816	S	24705	24961	49666	0.00124
Bifidobacterium breve	1685	S	7573	5874	13447	0.00034
Bifidobacterium pseudocatenulatum	28026	S	301	145	446	0.00001
Bifidobacterium sp. ESL0775	2983230	S	33	1	34	0.00000
Bifidobacterium sp. ESL0704	2983219	S	16	21	37	0.00000
Bifidobacterium sp. ESL0764	2983228	S	14	35	49	0.00000
Bifidobacterium sp. ESL0790	2983233	S	13	0	13	0.00000
Bifidobacterium sp. ESL0682	2983212	S	11	0	11	0.00000
Bifidobacterium sp. ESL0769	2983229	S	10	0	10	0.00000
Bifidobacterium adolescentis	1680	S	182	273	455	0.00001
Bifidobacterium pullorum	78448	S	136	15	151	0.00000
Bifidobacterium catenulatum	1686	S	127	103	230	0.00001
Bifidobacterium scardovii	158787	S	100	2	102	0.00000
Bifidobacterium eulemuris	1765219	S	84	14	98	0.00000
Bifidobacterium asteroides	1684	S	84	0	84	0.00000
Bifidobacterium pseudolongum	1694	S	75	8	83	0.00000
Bifidobacterium animalis	28025	S	67	6115	6182	0.00015
Bifidobacterium thermophilum	33905	S	65	0	65	0.00000
Bifidobacterium dentium	1689	S	52	1	53	0.00000
Bifidobacterium lemurum	1603886	S	48	7	55	0.00000
Bifidobacterium bifidum	1681	S	28	6042	6070	0.00015
Bifidobacterium actinocoloniiforme	638619	S	27	0	27	0.00000
Bifidobacterium subtile	77635	S	20	1	21	0.00000
Bifidobacterium saguini	762210	S	20	13	33	0.00000
Bifidobacterium angulatum	1683	S	19	2	21	0.00000
Bifidobacterium choerinum	35760	S	12	2	14	0.00000
Bifidobacterium imperatoris	2020965	S	11	7	18	0.00000
Bifidobacterium indicum	1691	S	10	11	21	0.00000
Scardovia inopinata	78259	S	18	1	19	0.00000
Parascardovia denticolens	78258	S	15	0	15	0.00000
Streptomyces sp. WMMC500	3015154	S	71	9	80	0.00000
Streptomyces sp. BPTC-684	3043734	S	66	14	80	0.00000
Streptomyces sp. W1SF4	2305220	S	62	14	76	0.00000
Streptomyces sp. Go-475	2072505	S	50	21	71	0.00000
Streptomyces sp. Li-HN-5-11	3075432	S	45	9	54	0.00000
Streptomyces sp. Rer75	2750011	S	45	11	56	0.00000
Streptomyces sp. T12	477697	S	45	13	58	0.00000
Streptomyces sp. SN-593	659352	S	43	5	48	0.00000
Streptomyces sp. NHF165	2175864	S	42	3	45	0.00000
Streptomyces sp. CMB-StM0423	2059884	S	42	11	53	0.00000
Streptomyces sp. ST1015	1848900	S	40	5	45	0.00000
Streptomyces sp. Caat 7-52	2949637	S	39	11	50	0.00000
Streptomyces sp. So13.3	2136173	S	39	3	42	0.00000
Streptomyces sp. Sge12	1972846	S	38	51	89	0.00000
Streptomyces sp. FXY-T5	3064901	S	37	16	53	0.00000
Streptomyces sp. DSM 40868	2721173	S	36	10	46	0.00000
Streptomyces sp. AM2-3-1	3075824	S	35	4	39	0.00000
Streptomyces sp. WZ-12	3030210	S	33	5	38	0.00000
Streptomyces sp. SH5	3041765	S	32	26	58	0.00000
Streptomyces sp. NA04227	2742136	S	32	4	36	0.00000
Streptomyces sp. WAC 01438	2203204	S	31	8	39	0.00000
Streptomyces sp. HUAS 14-6	2981135	S	31	8	39	0.00000
Streptomyces sp. 3214.6	1882757	S	25	6	31	0.00000
Streptomyces sp. CGMCC 4.1456	3074897	S	23	29	52	0.00000
Streptomyces sp. FIT100	2837956	S	23	6	29	0.00000
Streptomyces sp. VNUA116	3062449	S	22	5	27	0.00000
Streptomyces sp. C8S0	2585716	S	22	4	26	0.00000
Streptomyces sp. M56	1495638	S	22	113	135	0.00000
Streptomyces sp. HUAS 15-9	2981136	S	22	4	26	0.00000
Streptomyces sp. S584	3096010	S	21	4	25	0.00000
Streptomyces sp. CB01881	2078691	S	19	3	22	0.00000
Streptomyces sp. FZ201	3057122	S	19	5	24	0.00000
Streptomyces sp. LX-29	2900152	S	19	3	22	0.00000
Streptomyces sp. 71268	3002640	S	19	7	26	0.00000
Streptomyces sp. 604F	1476754	S	19	252	271	0.00001
Streptomyces sp. BHT-5-2	2866715	S	19	4	23	0.00000
Streptomyces sp. MA3_2.13	2867410	S	19	0	19	0.00000
Streptomyces sp. N50	3081765	S	17	2	19	0.00000
Streptomyces sp. Alt2	3033809	S	17	55	72	0.00000
Streptomyces sp. fd1-xmd	1812480	S	17	6	23	0.00000
Streptomyces sp. CdTB01	1725411	S	17	4	21	0.00000
Streptomyces sp. AM 2-1-1	3028709	S	17	2	19	0.00000
Streptomyces sp. Mut1	3033811	S	15	3	18	0.00000
Streptomyces sp. YIM 121038	2136401	S	15	3	18	0.00000
Streptomyces sp. Go40/10	2825844	S	15	5	20	0.00000
Streptomyces sp. HUAS 5	3031124	S	15	3	18	0.00000
Streptomyces sp. NEAU-sy36	2751189	S	14	3	17	0.00000
Streptomyces sp. S4.7	2705439	S	13	3	16	0.00000
Streptomyces sp. QHH-9511	2684468	S	12	2	14	0.00000
Streptomyces sp. ITFR-21	3075199	S	12	1	13	0.00000
Streptomyces sp. KMM 9044	2744474	S	12	2	14	0.00000
Streptomyces sp. CA-210063	2801029	S	12	3	15	0.00000
Streptomyces sp. HUAS 2-6	3004093	S	12	3	15	0.00000
Streptomyces sp. GMY02	1333528	S	11	1	12	0.00000
Streptomyces sp. SAT1	1849967	S	11	2	13	0.00000
Streptomyces sp. 2323.1	1938841	S	11	6	17	0.00000
Streptomyces sp. TLI_053	1855352	S	11	2	13	0.00000
Streptomyces sp. XD-27	3062779	S	10	1	11	0.00000
Streptomyces sp. INR7	2607753	S	10	4	14	0.00000
Streptomyces sp. S8	1837283	S	10	7	17	0.00000
Streptomyces sp. SCSIO ZS0520	2892996	S	10	1	11	0.00000
Streptomyces sp. 2P-4	2931974	S	10	74	84	0.00000
Streptomyces flavofungini	68200	S	385	171	556	0.00001
Streptomyces venezuelae	54571	S	222	65	287	0.00001
Streptomyces collinus	42684	S	143	55	198	0.00000
Streptomyces graminofaciens	68212	S	52	11	63	0.00000
Streptomyces griseus	1911	S	34	15	49	0.00000
Streptomyces cyaneofuscatus	66883	S	22	17	39	0.00000
Streptomyces anulatus	1892	S	19	31	50	0.00000
Streptomyces coeruleorubidus	116188	S	87	40	127	0.00000
Streptomyces alboniger	132473	S	36	11	47	0.00000
Streptomyces phaeoluteigriseus	114686	S	25	7	32	0.00000
Streptomyces cadmiisoli	2184053	S	10	1	11	0.00000
Streptomyces formicae	1616117	S	65	18	83	0.00000
Streptomyces lydicus	47763	S	63	62	125	0.00000
Streptomyces xanthophaeus	67385	S	62	23	85	0.00000
Streptomyces hygroscopicus	1912	S	30	47	77	0.00000
Streptomyces yatensis	155177	S	12	7	19	0.00000
Streptomyces viridosporus	67581	S	58	18	76	0.00000
Streptomyces olivoreticuli	68246	S	57	11	68	0.00000
Streptomyces tsukubensis	83656	S	56	7	63	0.00000
Streptomyces griseocarneus	51201	S	56	11	67	0.00000
Streptomyces vinaceus	1960	S	55	14	69	0.00000
Streptomyces alfalfae	1642299	S	45	9	54	0.00000
Streptomyces cynarae	2981134	S	43	7	50	0.00000
Streptomyces tanashiensis	67367	S	43	13	56	0.00000
Streptomyces genisteinicus	2768068	S	43	8	51	0.00000
Streptomyces seoulensis	73044	S	42	11	53	0.00000
Streptomyces clavuligerus	1901	S	41	4	45	0.00000
Streptomyces albus	1888	S	39	3	42	0.00000
Streptomyces murinus	33900	S	38	113	151	0.00000
Streptomyces griseochromogenes	68214	S	38	9	47	0.00000
Streptomyces gilvosporeus	553510	S	38	6	44	0.00000
Streptomyces chartreusis	1969	S	37	23	60	0.00000
Streptomyces cavourensis	67258	S	37	71	108	0.00000
Streptomyces mirabilis	68239	S	35	312	347	0.00001
Streptomyces dengpaensis	2049881	S	34	6	40	0.00000
Streptomyces niveus	193462	S	34	6	40	0.00000
Streptomyces ferrugineus	1413221	S	32	8	40	0.00000
Streptomyces hawaiiensis	67305	S	32	14	46	0.00000
Streptomyces durocortorensis	2811104	S	32	10	42	0.00000
Streptomyces lienomycini	284035	S	31	14	45	0.00000
Streptomyces vilmorinianum	3051092	S	31	7	38	0.00000
Streptomyces mobaraensis	35621	S	30	10	40	0.00000
Streptomyces yunnanensis	156453	S	30	151	181	0.00000
Streptomyces phaeolivaceus	2653200	S	30	7	37	0.00000
Streptomyces liliifuscus	2797636	S	30	6	36	0.00000
Streptomyces vietnamensis	362257	S	28	8	36	0.00000
Streptomyces pristinaespiralis	38300	S	27	6	33	0.00000
Streptomyces tubercidicus	47759	S	27	9	36	0.00000
Streptomyces leeuwenhoekii	1437453	S	26	17	43	0.00000
Streptomyces armeniacus	83291	S	26	1	27	0.00000
Streptomyces xiamenensis	408015	S	26	24	50	0.00000
Streptomyces noursei	1971	S	25	18	43	0.00000
Streptomyces lavendulae	1914	S	25	6	31	0.00000
Streptomyces atratus	1893	S	24	3	27	0.00000
Streptomyces drozdowiczii	202862	S	24	5	29	0.00000
Streptomyces roseirectus	2768066	S	24	3	27	0.00000
Streptomyces ambofaciens	1889	S	24	9	33	0.00000
Streptomyces tendae	1932	S	23	7	30	0.00000
Streptomyces cinnabarinus	67287	S	22	7	29	0.00000
Streptomyces alboflavus	67267	S	22	5	27	0.00000
Streptomyces nitrosporeus	28894	S	22	4	26	0.00000
Streptomyces lusitanus	68232	S	22	14	36	0.00000
Streptomyces laculatispora	887464	S	22	5	27	0.00000
Streptomyces galilaeus	33899	S	22	7	29	0.00000
Streptomyces spongiicola	1690221	S	21	4	25	0.00000
Streptomyces katrae	68223	S	21	5	26	0.00000
Streptomyces qinzhouensis	2599401	S	21	3	24	0.00000
Streptomyces liangshanensis	2717324	S	20	2	22	0.00000
Streptomyces xinghaiensis	1038928	S	20	3	23	0.00000
Streptomyces roseochromogenus	285450	S	20	4	24	0.00000
Streptomyces xanthii	2768069	S	19	3	22	0.00000
Streptomyces pactum	68249	S	19	6	25	0.00000
Streptomyces auratus	114687	S	18	11	29	0.00000
Streptomyces chromofuscus	42881	S	18	5	23	0.00000
Streptomyces longhuiensis	2880933	S	17	2	19	0.00000
Streptomyces marincola	2878388	S	17	1	18	0.00000
Streptomyces buecherae	2763006	S	17	4	21	0.00000
Streptomyces janthinus	67308	S	17	19	36	0.00000
Streptomyces durmitorensis	319947	S	17	2	19	0.00000
Streptomyces violaceoruber	1935	S	16	105	121	0.00000
Streptomyces paludis	2282738	S	16	2	18	0.00000
Streptomyces incarnatus	665007	S	15	3	18	0.00000
Streptomyces roseicoloratus	2508722	S	14	3	17	0.00000
Streptomyces pluripotens	1355015	S	14	2	16	0.00000
Streptomyces harbinensis	1176198	S	13	1	14	0.00000
Streptomyces asoensis	249586	S	13	2	15	0.00000
Streptomyces angustmyceticus	285578	S	13	3	16	0.00000
Streptomyces bathyalis	2710756	S	13	0	13	0.00000
Streptomyces griseoviridis	45398	S	13	2	15	0.00000
Streptomyces hundungensis	1077946	S	12	2	14	0.00000
Streptomyces platensis	58346	S	12	10	22	0.00000
Streptomyces fagopyri	2662397	S	12	2	14	0.00000
Streptomyces yangpuensis	1648182	S	11	4	15	0.00000
Streptomyces peucetius	1950	S	11	2	13	0.00000
Streptomyces halobius	2879846	S	11	1	12	0.00000
Streptomyces caniscabiei	2746961	S	11	11	22	0.00000
Streptomyces gobiensis	2875706	S	11	0	11	0.00000
Streptomyces broussonetiae	2686304	S	10	2	12	0.00000
Streptomyces luteoverticillatus	66425	S	10	2	12	0.00000
Streptomyces tirandamycinicus	2174846	S	10	2	12	0.00000
Streptomyces finlayi	67296	S	10	1	11	0.00000
Streptomyces griseorubiginosus	67304	S	10	2	12	0.00000
Streptomyces argyrophyllae	2726118	S	10	3	13	0.00000
Streptomyces avermitilis	33903	S	10	2	12	0.00000
