# Reaction HUMAnN v4.0.0.alpha.1	SRR7947171_1
XMPXAN-RXN	7.1220609557
XMPXAN-RXN|unclassified	7.1220609557
1.1.1.8-RXN	7.0555779348
1.1.1.8-RXN|unclassified	7.0555779348
RXN-12458	7.0034253832
RXN-12458|unclassified	7.0034253832
RXN-14517	7.0034253832
RXN-14517|unclassified	7.0034253832
THREONINE--TRNA-LIGASE-RXN	6.9391169627
THREONINE--TRNA-LIGASE-RXN|unclassified	6.9391169627
3.2.1.23-RXN	6.9240200178
3.2.1.23-RXN|unclassified	6.9240200178
KETOLACTOSE-RXN	6.9240200178
KETOLACTOSE-RXN|unclassified	6.9240200178
RXN-12398	6.9240200178
RXN-12398|unclassified	6.9240200178
RXN-12399	6.9240200178
RXN-12399|unclassified	6.9240200178
RXN-12400	6.9240200178
RXN-12400|unclassified	6.9240200178
RXN-19765	6.9240200178
RXN-19765|unclassified	6.9240200178
RHAMNULPALDOL-RXN	6.7990390889
RHAMNULPALDOL-RXN|unclassified	6.7990390889
RXN-1961	6.7978535242
RXN-1961|unclassified	6.7978535242
RIBULPEPIM-RXN	6.7802947652
RIBULPEPIM-RXN|unclassified	6.7802947652
SUCCORNTRANSAM-RXN	6.7567567568
SUCCORNTRANSAM-RXN|unclassified	6.7567567568
SHIKIMATE-5-DEHYDROGENASE-RXN	6.7252592050
SHIKIMATE-5-DEHYDROGENASE-RXN|unclassified	6.7252592050
PEPCARBOXYKIN-RXN	6.5297509015
PEPCARBOXYKIN-RXN|unclassified	6.5297509015
F16ALDOLASE-RXN	6.4887343069
F16ALDOLASE-RXN|unclassified	6.4887343069
RXN-19916	6.4887343069
RXN-19916|unclassified	6.4887343069
RXN-8631	6.4887343069
RXN-8631|unclassified	6.4887343069
SEDOBISALDOL-RXN	6.4887343069
SEDOBISALDOL-RXN|unclassified	6.4887343069
3.1.21.4-RXN	6.4878691983
3.1.21.4-RXN|unclassified	6.4878691983
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	6.4791708260
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN|unclassified	6.4791708260
RXN-15043	6.4791708260
RXN-15043|unclassified	6.4791708260
RXN-16025	6.4791708260
RXN-16025|unclassified	6.4791708260
RXN-16032	6.4791708260
RXN-16032|unclassified	6.4791708260
RXN-16067	6.4791708260
RXN-16067|unclassified	6.4791708260
RXN-16076	6.4791708260
RXN-16076|unclassified	6.4791708260
RXN-16077	6.4791708260
RXN-16077|unclassified	6.4791708260
RXN-16118	6.4791708260
RXN-16118|unclassified	6.4791708260
RXN-1623	6.4791708260
RXN-1623|unclassified	6.4791708260
RXN-17008	6.4791708260
RXN-17008|unclassified	6.4791708260
RXN-17009	6.4791708260
RXN-17009|unclassified	6.4791708260
RXN-17010	6.4791708260
RXN-17010|unclassified	6.4791708260
RXN-17011	6.4791708260
RXN-17011|unclassified	6.4791708260
RXN-17012	6.4791708260
RXN-17012|unclassified	6.4791708260
RXN-17013	6.4791708260
RXN-17013|unclassified	6.4791708260
RXN-17014	6.4791708260
RXN-17014|unclassified	6.4791708260
RXN-17015	6.4791708260
RXN-17015|unclassified	6.4791708260
RXN-17019	6.4791708260
RXN-17019|unclassified	6.4791708260
RXN-17020	6.4791708260
RXN-17020|unclassified	6.4791708260
RXN-17021	6.4791708260
RXN-17021|unclassified	6.4791708260
RXN-17022	6.4791708260
RXN-17022|unclassified	6.4791708260
RXN-17023	6.4791708260
RXN-17023|unclassified	6.4791708260
RXN-17024	6.4791708260
RXN-17024|unclassified	6.4791708260
RXN-17729	6.4791708260
RXN-17729|unclassified	6.4791708260
RXN-20512	6.4791708260
RXN-20512|unclassified	6.4791708260
RXN-20528	6.4791708260
RXN-20528|unclassified	6.4791708260
RXN-20565	6.4791708260
RXN-20565|unclassified	6.4791708260
RXN0-5514	6.4791708260
RXN0-5514|unclassified	6.4791708260
RXN0-6705	6.4791708260
