	Abundance
Oxidized adrenal ferredoxin	100.1095177548
tRNA(Lys)	49.8839235228
L-Lysyl-tRNA	49.8839235228
4-Coumarate	48.8502325942
4-Hydroxystyrene	48.8502325942
Caffeate	48.8502325942
3,4-Dihydroxystyrene	48.8502325942
Malonyl-CoA	47.0367896637
N-Acetylmuramoyl-Ala	46.8781120084
N-Acetylmuramate	55.9438874768
L-Alanine	83.569649855
S-Ribosyl-L-homocysteine	46.6056418672
(S)-4,5-Dihydroxypentane-2,3-dione	46.6056418672
4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol	46.4885165146
2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	46.4885165146
alpha-D-Glucose 6-phosphate	125.5221858525
HCO3-	117.17654573339999
N-Acetyl-D-glucosamine	177.5813074151
G00711	44.4525230906
G10008	44.4525230906
Galactan	112.0875330584
Glucosylceramide	44.2217770669
3-Ketolactose	44.2217770669
3-Keto-beta-D-galactose	44.2217770669
beta-D-Galactose	47.7345605682
Bilirubin	88.3141365086
Biliverdin	88.3141365086
Protein glutamine	43.9182379573
Protein N5-methyl-L-glutamine	43.9182379573
Precorrin 2	43.4275124196
Precorrin 3A	43.4275124196
Cobalt-sirohydrochlorin	43.4275124196
Cobalt-factor III	43.4275124196
5-Methyltetrahydropteroyltri-L-glutamate	43.1082415546
Tetrahydropteroyltri-L-glutamate	43.1082415546
Ascorbate	86.0776772214
L-Ascorbate 6-phosphate	86.0776772214
dTDP-4-dehydro-beta-L-rhamnose	42.4638072486
alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate	41.4400630171
Methane	41.4400630171
DNA(n)	41.1254631181
5'-Phospho-DNA(m)	41.1254631181
DNA(n	41.1254631181
m)	41.1254631181
epsilon-Caprolactone	41.0100718075
6-Hydroxyhexanoic acid	41.0100718075
(4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone	41.0100718075
(3R)-6-Hydroxy-3-isopropenyl-heptanoate	41.0100718075
(3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone	41.0100718075
(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate	41.0100718075
(4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone	41.0100718075
(3S)-6-Hydroxy-3-isopropenyl-heptanoate	41.0100718075
(3S,6S)-6-Isopropenyl-3-methyl-2-oxo-oxepanone	41.0100718075
(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoate	41.0100718075
Enzyme N6-(dihydrolipoyl)lysine	40.6225391667
[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	40.6225391667
Carbamoyl phosphate	80.7943910834
Carbamate	40.3971955417
4-Imidazolone-5-propanoate	40.0657609435
Urocanate	40.0657609435
2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	67.7370594012
Aminoimidazole ribotide	38.5036606749
L-Leucine	38.1645567095
4-Methyl-2-oxopentanoate	38.1645567095
L-Valine	74.5146823856
3-Methyl-2-oxobutanoic acid	77.69264733659999
L-Isoleucine	44.6825684791
(S)-3-Methyl-2-oxopentanoic acid	38.1645567095
2-Oxo-5-methylthiopentanoic acid	38.1645567095
L-Amino acid	108.9540901873
Homomethionine	38.1645567095
2-Oxo-6-methylthiohexanoic acid	38.1645567095
Dihomomethionine	38.1645567095
(S)-2-Aminobutanoate	38.1645567095
4-Phospho-D-erythronate	37.5153736966
rRNA	56.5939381649
rRNA containing N2-methylguanine	56.5939381649
Propanoate	51.9936009756
Nitrite	109.3287667701
Nitrate	109.3287667701
L-Histidinol phosphate	36.1066936566
L-Histidinol	94.33772788840001
D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	36.1066936566
3-(Imidazol-4-yl)-2-oxopropyl phosphate	36.1066936566
Ethanol	46.5991903957
D-Glyceraldehyde	35.999974365
5-Amino-6-(5'-phospho-D-ribitylamino)uracil	35.6140097276
5-Amino-6-(5'-phosphoribosylamino)uracil	71.2280194552
