# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168_kegg
K01265	48.1158518212
K18866	48.1158518212
K09013	47.9186614281
K22605	47.8481697526
K02611	47.7817139613
K09773	47.5177265914
K02510	47.2566401815
K01854	47.1730401623
K00854	47.0506197165
K01719	46.9984071751
K00763	46.9100277460
K00851	46.9023830885
K02371	46.7429810491
K16951	46.5532260516
K00691	46.3488173468
K01916	46.3033579101
K01609	46.1163995337
K02169	46.0546640591
K02233	45.6876946244
K01079	45.3265270779
K16509	45.2775872267
K01955	45.0744178631
K11085	45.0286719296
K01950	44.8961672906
K04074	44.8537601723
K03768	44.5632565442
K15986	44.4343145819
K01629	44.3335490363
K00941	44.2195810439
K11070	43.9372082403
K06897	43.7695089722
K15584	43.7416834738
K01486	43.4698028838
K05815	43.3285063629
K02020	42.9498552461
K01585	42.6879361288
K07391	42.5202150054
K00067	42.4726346323
K07273	41.9546756733
K00651	41.9035737541
K03701	41.8765126201
K03179	41.8017424692
K03587	41.6883811514
K01426	41.2504005421
K02026	41.0535012555
K00645	40.9557548240
K00852	40.9070559478
K06605	40.7616517205
K02503	40.7412961799
K19225	40.7162072311
K04042	40.6228993518
K03043	40.1214926673
K11144	40.0498650200
K17716	40.0032954095
K20811	39.8349557716
K10254	39.6917909561
K03389	39.2726416120
K02472	39.0559139230
K00917	39.0054807847
K02775	38.9447582138
K00384	38.8732588160
K03614	38.8732588160
K05713	38.7856077251
K01209	38.6316884886
K02033	38.4389207286
K01923	37.9722230156
K00611	37.9303572791
K01179	37.5987257400
K01750	37.5167219762
K01625	37.3943848393
K21567	36.9129120731
K00162	36.7551645856
K01501	36.7551645856
K06994	36.7166451963
K16950	36.7159381560
K01534	36.7070480249
K01409	36.6767953648
K01239	36.2899093377
K05878	36.0995110725
K22927	36.0729303554
K00008	36.0616709142
K01338	36.0152586343
K00382	35.9911385324
K00036	35.8838575132
K00950	35.3373061790
K01703	35.0643026616
K02361	34.3684655866
K07304	34.3131102379
K01735	34.2316756738
K20885	34.2316756738
K01812	34.2238164041
K19244	33.8944177854
K12267	33.8277620965
K01739	33.7945324677
K13378	33.7604992186
K00146	33.4657918795
K07085	33.4038871847
K01089	33.3038083757
K01438	32.9845005294
K03770	32.8913717519
K01921	32.8584852456
K03735	32.7023892120
K01998	32.6402600115
K16898	32.5669186615
K19802	32.4781119820
K13787	32.3639078571
K01205	32.1221676473
K01686	32.0921959442
K03271	31.9728941005
K00975	31.7369317824
K03534	31.4939261878
K00099	31.4181132896
K14170	31.4181132896
